model,mean_log_loss,mean_brier,accuracy,correct,matches
logistic_l2_weighted,0.9732244408961517,0.5691319762033541,0.578125,148.0,256.0
ensemble_boosted_linear_mlp,0.9773152488980379,0.5767233915865331,0.57421875,147.0,256.0
hist_gradient_boosting,0.9917645658036903,0.585332343265195,0.5703125,146.0,256.0
ensemble_all_non_elo,0.9837449811054061,0.5819920201448543,0.56640625,145.0,256.0
logistic_l1_weighted,0.9751187741798596,0.5717608009180111,0.5625,144.0,256.0
ensemble_tree_boosters,0.9844741341751754,0.5820968440060006,0.5625,144.0,256.0
xgboost_regularized,0.9821875221694935,0.581112964354259,0.55859375,143.0,256.0
elo_reference,0.9909113234653341,0.5883504537159707,0.53515625,137.0,256.0
mlp_deep,1.0335585894398616,0.6098788686853504,0.53125,136.0,256.0
mlp_shallow,1.0559837497041125,0.6252764139583014,0.5234375,134.0,256.0
random_forest,1.0277733871769885,0.6168918023007062,0.4765625,122.0,256.0
extra_trees,1.0421456493102323,0.6274549352646374,0.46484375,119.0,256.0
